rider_id,date,location,rides,on_time_rides,cancelled_rides,missed_rides,distance_km,overhead_distance_km,earnings,peak_bonus,waiting_earnings,fuel_cost,idle_minutes,work_hours,customer_rating,avg_speed_kmph,network_downtime
R991MA,2025-08-14,Delhi,17,12,0,2,70.8,5.59,766.09,100,29.8,191.19,47,5.43,4.28,27.9,1
R991MA,2025-08-15,Delhi,23,20,2,3,89.18,26.5,879.31,120,17.2,289.54,28,6.97,4.89,22.14,1
R991MA,2025-08-16,Delhi,21,13,2,2,79.12,12.29,814.74,120,30.03,228.82,41,6.74,4.27,25.14,4
R991MA,2025-08-17,Delhi,17,14,0,1,70.39,9.11,698.29,100,25.71,198.99,37,5.37,4.51,25.63,1
R991MA,2025-08-18,Delhi,9,6,1,1,40.05,2.62,423.23,0,11.76,106.81,96,3.73,4.25,29.9,5
R991MA,2025-08-19,Delhi,18,13,1,1,82.65,8.41,799.86,100,16.2,227.93,57,5.85,4.22,25.42,1
R991MA,2025-08-20,Delhi,,,,,,,,,,,,,,,
R991MA,2025-08-21,Delhi,10,9,2,1,50.99,10.96,392.49,80,13.1,155.08,65,4.49,4.85,26.09,0
R991MA,2025-08-22,Delhi,17,12,0,1,69.48,16.67,688.61,100,13.8,215.63,53,5.96,4.57,20.72,3
R991MA,2025-08-23,Delhi,12,7,1,1,60.89,4.33,537.52,80,12.52,163.26,52,4.51,4.15,24.65,2
R991MA,2025-08-24,Delhi,26,18,2,1,97.98,30.16,1006.17,120,17.39,320.75,31,7.92,4.39,22.08,5
R991MA,2025-08-25,Delhi,14,10,0,1,59.77,6.79,602.58,80,18.4,166.62,40,5.17,4.65,22.32,5
R991MA,2025-08-26,Delhi,9,8,3,2,48.0,1.74,425.38,0,9.48,124.5,100,4.57,4.48,22.15,4
R991MA,2025-08-27,Delhi,,,,,,,,,,,,,,,
R991MA,2025-08-28,Delhi,11,10,2,1,47.6,4.73,491.67,80,20.68,130.98,64,4.77,4.67,21.32,0
R991MA,2025-08-29,Delhi,9,7,3,2,39.48,5.81,405.36,0,15.86,113.36,47,3.88,4.6,21.62,4
R991MA,2025-08-30,Delhi,16,10,1,1,68.82,18.17,571.53,100,15.41,217.74,51,6.15,4.37,20.76,0
R991MA,2025-08-31,Delhi,28,21,0,1,107.16,15.87,1137.09,120,41.88,307.97,50,8.63,4.86,24.61,3
R891BT,2025-07-01,Chennai,12,8,0,0,51.6,13.36,568.3,80,17.99,157.42,43,4.38,4.22,27.46,3
R891BT,2025-07-02,Chennai,13,11,3,2,60.29,10.91,576.97,80,15.13,172.52,49,4.53,4.8,25.78,0
R891BT,2025-07-03,Chennai,9,6,3,0,40.78,4.28,442.07,0,9.51,109.2,92,3.81,4.24,26.51,4
R891BT,2025-07-04,Chennai,13,11,1,0,56.32,14.46,509.93,80,22.12,171.53,49,5.32,4.79,23.56,5
R891BT,2025-07-05,Chennai,12,8,0,2,51.0,8.31,519.41,80,19.72,143.73,32,4.28,4.08,24.6,0
R891BT,2025-07-06,Chennai,,,,,,,,,,,,,,,
R891BT,2025-07-07,Chennai,8,6,2,0,38.73,2.69,410.91,0,5.39,100.37,46,2.96,4.18,23.64,5
R891BT,2025-07-08,Chennai,8,6,2,0,33.03,8.05,363.34,0,7.96,99.56,44,3.19,4.31,21.17,1
R891BT,2025-07-09,Chennai,15,11,1,1,68.49,1.91,620.06,80,12.19,170.62,46,4.97,4.22,21.84,1
R891BT,2025-07-10,Chennai,7,4,3,0,36.11,3.43,290.82,0,10.97,95.83,85,3.95,4.37,21.45,5
R891BT,2025-07-11,Chennai,8,6,0,2,36.84,9.34,335.36,0,4.89,111.91,55,3.12,4.82,25.7,0
R891BT,2025-07-12,Chennai,21,18,1,1,83.74,14.1,759.23,120,15.49,237.1,39,6.23,4.75,21.83,4
R891BT,2025-07-13,Chennai,,,,,,,,,,,,,,,
R891BT,2025-07-14,Chennai,14,10,2,2,59.78,11.3,690.48,80,22.2,172.25,30,4.72,4.54,25.92,2
R891BT,2025-07-15,Chennai,8,6,1,0,38.82,5.44,419.79,0,12.08,107.24,84,3.99,4.57,26.22,3
R891BT,2025-07-16,Chennai,12,10,3,2,55.02,3.27,498.76,80,14.47,141.24,36,3.77,4.64,28.24,2
R891BT,2025-07-17,Chennai,15,10,1,1,69.38,1.66,683.27,80,12.83,172.16,58,4.88,4.21,25.73,4
R891BT,2025-07-18,Chennai,14,12,2,0,65.17,12.73,620.25,80,10.05,188.79,51,5.12,4.86,22.91,2
R891BT,2025-07-19,Chennai,,,,,,,,,,,,,,,
R891BT,2025-07-20,Chennai,27,20,1,2,107.12,24.04,1029.18,120,29.75,317.85,35,8.93,4.62,20.48,1
R891BT,2025-07-21,Chennai,10,8,2,1,49.38,1.24,476.39,80,8.91,122.66,40,3.23,4.65,26.42,2
R891BT,2025-07-22,Chennai,8,6,1,0,39.37,3.58,345.93,0,12.13,104.07,47,3.69,4.86,20.93,0
R891BT,2025-07-23,Chennai,10,8,0,1,45.29,3.78,448.31,80,15.63,118.91,38,3.82,4.54,21.89,0
R891BT,2025-07-24,Chennai,9,7,1,2,44.42,0.92,413.94,0,11.28,109.89,51,3.52,4.85,26.69,2
R891BT,2025-07-25,Chennai,12,8,2,2,49.84,13.1,393.52,80,13.12,152.51,44,3.98,4.36,28.46,2
R891BT,2025-07-26,Chennai,,,,,,,,,,,,,,,
R891BT,2025-07-27,Chennai,28,21,1,2,105.91,15.46,1093.26,120,36.05,294.11,23,7.58,4.71,25.71,1
R891BT,2025-07-28,Chennai,12,8,3,1,54.21,4.17,508.8,80,17.73,141.49,34,4.69,4.15,20.27,1
R891BT,2025-07-29,Chennai,9,6,1,0,48.78,8.92,412.88,0,15.05,139.82,76,4.82,4.36,22.02,4
R891BT,2025-07-30,Chennai,7,5,2,1,32.37,3.36,261.36,0,9.01,86.57,87,3.33,4.41,29.36,5
R891BT,2025-07-31,Chennai,15,11,0,0,70.95,6.68,734.06,80,23.77,188.14,68,6.44,4.67,20.02,2
R891BT,2025-08-01,Chennai,,,,,,,,,,,,,,,
R891BT,2025-08-02,Chennai,16,10,1,2,69.21,13.79,588.05,100,27.18,201.13,27,5.88,4.08,22.04,4
R891BT,2025-08-03,Chennai,28,23,0,3,105.61,18.32,886.67,120,30.18,300.32,30,7.94,4.6,24.44,0
R891BT,2025-08-04,Chennai,13,8,3,2,56.55,8.6,519.52,80,18.09,157.89,51,5.23,4.03,21.57,0
R891BT,2025-08-05,Chennai,15,11,2,1,64.9,13.33,624.06,80,12.41,189.57,45,5.31,4.72,20.64,1
R891BT,2025-08-06,Chennai,9,8,0,0,46.2,7.2,384.38,0,7.51,129.42,77,4.56,4.66,20.62,1
R891BT,2025-08-07,Chennai,16,11,0,2,71.02,17.96,658.55,100,21.95,215.64,44,6.85,4.17,20.31,4
R891BT,2025-08-08,Chennai,,,,,,,,,,,,,,,
R891BT,2025-08-09,Chennai,14,9,1,0,67.48,1.39,689.08,80,19.57,166.89,39,4.68,4.17,27.09,1
R891BT,2025-08-10,Chennai,25,16,2,3,94.89,2.92,710.68,120,24.31,237.04,36,6.49,4.35,23.38,4
R891BT,2025-08-11,Chennai,15,11,0,2,61.69,11.08,539.08,80,12.62,176.36,45,4.59,4.75,25.24,3
R891BT,2025-08-12,Chennai,9,6,3,1,46.15,0.71,391.81,0,8.87,113.56,77,3.66,4.15,28.02,3
R891BT,2025-08-13,Chennai,7,5,3,0,28.71,1.93,285.31,0,6.82,74.26,42,2.33,4.27,25.95,2
R891BT,2025-08-14,Chennai,13,11,2,1,61.12,8.13,481.33,80,22.49,167.83,41,4.8,4.76,25.12,5
R891BT,2025-08-15,Chennai,,,,,,,,,,,,,,,
R891BT,2025-08-16,Chennai,18,14,2,1,82.03,15.88,885.68,100,17.84,237.27,33,6.78,4.71,20.74,3
R891BT,2025-08-17,Chennai,18,14,0,2,72.53,17.38,854.12,100,11.92,217.88,44,4.84,4.63,28.53,1
R891BT,2025-08-18,Chennai,14,11,3,1,64.73,1.9,652.64,80,16.41,161.46,52,5.03,4.56,22.72,1
R891BT,2025-08-19,Chennai,10,8,3,2,50.64,8.18,455.04,80,8.04,142.55,60,4.24,4.61,22.77,0
R891BT,2025-08-20,Chennai,7,4,3,0,36.64,7.36,357.45,0,5.88,106.63,52,3.02,4.13,25.68,2
R891BT,2025-08-21,Chennai,,,,,,,,,,,,,,,
R891BT,2025-08-22,Chennai,15,9,3,1,68.56,6.68,666.95,80,16.53,182.32,34,4.78,4.24,24.18,5
R891BT,2025-08-23,Chennai,10,7,1,0,47.21,7.33,466.68,80,7.01,132.16,70,4.26,4.04,21.87,5
R891BT,2025-08-24,Chennai,23,18,0,1,94.16,8.91,894.51,120,32.81,249.77,39,6.67,4.77,29.03,3
R891BT,2025-08-25,Chennai,13,11,1,1,60.86,12.73,534.09,80,16.82,178.33,37,4.61,4.78,29.17,3
R891BT,2025-08-26,Chennai,15,10,3,0,69.42,8.84,630.14,80,10.1,189.67,35,4.56,4.31,25.26,4
R891BT,2025-08-27,Chennai,18,12,2,2,74.07,9.38,821.13,100,25.35,202.23,54,6.75,4.13,21.48,3
R891BT,2025-08-28,Chennai,,,,,,,,,,,,,,,
R891BT,2025-08-29,Chennai,15,11,1,1,68.1,14.77,683.25,80,19.16,200.81,59,5.91,4.36,21.96,4
R891BT,2025-08-30,Chennai,10,8,2,0,45.19,1.0,361.69,80,13.28,111.93,38,3.84,4.49,20.62,3
R891BT,2025-08-31,Chennai,27,20,0,0,102.12,7.21,801.14,120,38.03,264.96,37,8.25,4.1,21.26,2
R754WW,2025-07-01,Chennai,11,7,0,1,44.32,3.49,363.28,80,16.63,128.89,41,4.01,4.37,21.93,4
R754WW,2025-07-02,Chennai,15,12,1,1,77.16,1.08,707.08,80,11.91,210.92,34,5.32,4.57,20.74,0
R754WW,2025-07-03,Chennai,7,5,2,1,38.16,4.31,386.0,0,6.15,114.5,68,3.15,4.34,28.79,2
R754WW,2025-07-04,Chennai,15,11,1,0,69.62,11.8,643.36,80,13.85,219.48,30,4.13,4.86,29.96,0
R754WW,2025-07-05,Chennai,14,9,2,2,71.46,5.66,734.67,80,13.64,207.91,34,5.04,4.36,21.33,5
R754WW,2025-07-06,Chennai,17,10,0,2,73.63,19.88,815.31,100,24.14,252.09,53,6.3,4.37,23.77,1
R754WW,2025-07-07,Chennai,,,,,,,,,,,,,,,
R754WW,2025-07-08,Chennai,13,9,3,1,58.66,1.55,644.37,80,15.77,162.31,69,4.53,4.56,29.5,3
R754WW,2025-07-09,Chennai,16,12,1,1,70.27,18.12,653.3,100,15.93,238.31,54,6.2,4.64,22.41,3
R754WW,2025-07-10,Chennai,14,12,0,0,57.25,16.07,511.52,80,16.02,197.65,52,5.54,4.4,22.9,1
R754WW,2025-07-11,Chennai,14,10,0,1,63.21,8.97,649.01,80,15.2,194.6,33,4.14,4.75,29.24,5
R754WW,2025-07-12,Chennai,16,14,0,0,63.73,1.77,706.3,100,18.89,176.58,30,5.37,4.4,20.59,5
R754WW,2025-07-13,Chennai,20,17,0,1,88.6,13.88,825.71,100,14.06,276.27,36,5.41,4.61,28.77,3
R754WW,2025-07-14,Chennai,,,,,,,,,,,,,,,
R754WW,2025-07-15,Chennai,13,10,0,1,54.7,1.72,532.06,80,17.63,152.09,32,3.94,4.33,24.4,4
R754WW,2025-07-16,Chennai,7,6,3,0,39.68,8.09,310.2,0,9.39,128.79,42,2.91,4.72,29.3,0
R754WW,2025-07-17,Chennai,7,5,2,1,36.93,8.17,370.12,0,6.77,121.58,89,3.94,4.89,21.94,5
R754WW,2025-07-18,Chennai,11,9,3,0,48.67,11.52,429.05,80,10.93,162.27,34,3.42,4.51,28.13,4
R754WW,2025-07-19,Chennai,17,12,1,2,75.13,7.42,693.65,100,23.29,222.55,52,6.32,4.22,23.44,0
R754WW,2025-07-20,Chennai,16,10,1,3,67.56,9.01,612.22,100,18.44,206.42,31,4.95,4.22,27.51,5
R754WW,2025-07-21,Chennai,,,,,,,,,,,,,,,
R754WW,2025-07-22,Chennai,14,10,3,0,62.19,15.68,631.11,80,18.15,209.93,53,5.26,4.89,23.76,0
R754WW,2025-07-23,Chennai,13,10,2,1,59.99,0.96,540.4,80,11.5,164.32,65,4.79,4.7,22.02,5
R754WW,2025-07-24,Chennai,16,11,3,1,66.74,14.64,790.88,100,21.21,219.38,55,6.47,4.13,21.92,3
R754WW,2025-07-25,Chennai,14,8,1,1,60.29,15.75,646.67,80,17.32,205.0,61,5.48,4.08,25.81,3
R754WW,2025-07-26,Chennai,22,19,2,2,78.04,3.6,743.26,120,29.38,220.08,22,6.25,4.5,21.51,1
R754WW,2025-07-27,Chennai,,,,,,,,,,,,,,,
R754WW,2025-07-28,Chennai,16,11,0,0,66.18,17.03,612.24,100,14.54,224.31,53,5.51,4.33,22.37,0
R754WW,2025-07-29,Chennai,16,11,3,1,67.79,9.62,600.17,100,15.0,208.67,55,5.85,4.17,20.23,5
R754WW,2025-07-30,Chennai,8,6,0,0,39.74,9.12,381.82,0,7.94,131.71,85,4.17,4.3,22.09,2
R754WW,2025-07-31,Chennai,14,10,3,1,60.57,6.38,599.14,80,23.49,180.5,63,5.43,4.13,23.18,4
R754WW,2025-08-01,Chennai,16,13,3,2,67.18,9.25,645.47,100,11.53,206.03,48,4.51,4.58,26.78,5
R754WW,2025-08-02,Chennai,16,14,2,2,70.28,2.77,602.1,100,16.35,196.95,51,5.49,4.71,21.36,3
R754WW,2025-08-03,Chennai,,,,,,,,,,,,,,,
R754WW,2025-08-04,Chennai,8,6,2,0,38.74,1.46,420.62,0,7.51,108.36,77,3.16,4.53,28.53,5
R754WW,2025-08-05,Chennai,10,9,1,1,43.12,2.81,394.9,80,12.87,123.81,48,3.88,4.62,20.47,4
R754WW,2025-08-06,Chennai,12,10,0,0,57.09,8.3,672.21,80,11.8,176.28,54,4.43,4.59,26.1,5
R754WW,2025-08-07,Chennai,11,8,3,1,48.61,3.7,519.8,80,13.65,141.02,30,3.7,4.04,21.99,3
R754WW,2025-08-08,Chennai,9,5,0,2,41.94,7.76,458.03,0,11.05,133.99,42,3.92,4.0,21.45,5
R754WW,2025-08-09,Chennai,,,,,,,,,,,,,,,
R754WW,2025-08-10,Chennai,28,22,1,0,102.9,32.85,1175.45,120,41.38,365.96,47,10.23,4.79,21.44,1
R754WW,2025-08-11,Chennai,12,10,1,1,52.85,14.31,458.55,80,10.01,181.05,62,4.73,4.65,22.44,1
R754WW,2025-08-12,Chennai,11,8,3,0,51.68,3.26,405.71,80,13.89,148.11,45,3.92,4.45,25.83,3
R754WW,2025-08-13,Chennai,10,6,3,2,44.47,2.98,466.22,80,8.79,127.92,68,3.69,4.34,23.61,3
R754WW,2025-08-14,Chennai,15,12,2,2,71.88,15.83,785.02,80,11.55,236.45,70,5.35,4.67,26.62,0
R754WW,2025-08-15,Chennai,,,,,,,,,,,,,,,
R754WW,2025-08-16,Chennai,17,13,2,3,71.16,7.89,660.79,100,15.12,213.1,29,5.16,4.49,23.23,4
R754WW,2025-08-17,Chennai,18,12,2,0,74.86,6.83,807.9,100,24.49,220.2,29,5.92,4.1,20.88,1
R754WW,2025-08-18,Chennai,9,6,0,1,46.78,6.58,377.81,0,10.32,143.85,93,4.02,4.05,29.83,3
R754WW,2025-08-19,Chennai,11,7,3,1,52.33,10.77,518.22,80,15.36,170.11,34,3.98,4.33,29.01,5
R754WW,2025-08-20,Chennai,9,7,1,1,41.9,2.21,325.77,0,10.35,118.92,48,3.59,4.17,23.01,3
R754WW,2025-08-21,Chennai,11,7,0,2,53.83,12.26,500.03,80,10.22,178.18,36,4.63,4.21,20.84,5
R754WW,2025-08-22,Chennai,,,,,,,,,,,,,,,
R754WW,2025-08-23,Chennai,16,11,0,1,71.37,13.89,693.08,100,24.1,229.87,28,5.24,4.08,26.38,5
R754WW,2025-08-24,Chennai,25,16,1,2,92.87,2.61,849.84,120,26.03,257.41,44,6.96,4.33,22.12,3
R754WW,2025-08-25,Chennai,9,7,2,2,37.89,7.14,365.28,0,6.79,121.39,79,3.93,4.66,21.73,1
R754WW,2025-08-26,Chennai,11,8,2,0,53.3,12.35,518.97,80,7.81,176.98,30,3.47,4.74,28.34,0
R754WW,2025-08-27,Chennai,20,14,2,3,84.9,23.15,783.41,100,14.4,291.28,29,5.98,4.36,25.02,5
R754WW,2025-08-28,Chennai,,,,,,,,,,,,,,,
R754WW,2025-08-29,Chennai,15,10,2,2,67.96,6.32,632.07,80,24.21,200.25,47,5.19,4.23,26.11,3
R754WW,2025-08-30,Chennai,10,7,0,1,44.42,2.93,432.37,80,12.92,127.64,52,3.52,4.16,26.53,2
R754WW,2025-08-31,Chennai,20,15,1,2,82.72,3.47,886.46,100,27.26,232.36,40,6.72,4.72,22.94,2
R368EN,2025-07-01,Delhi,17,15,3,1,71.85,4.61,682.51,100,23.82,180.85,53,6.07,4.73,20.53,4
R368EN,2025-07-02,Delhi,12,9,2,1,48.63,8.33,482.52,80,14.49,134.74,63,5.05,4.59,20.21,4
R368EN,2025-07-03,Delhi,14,10,0,0,63.62,11.82,621.84,80,15.26,178.46,34,4.42,4.37,28.29,0
R368EN,2025-07-04,Delhi,10,8,3,0,46.78,1.64,488.1,80,8.3,114.53,62,3.52,4.7,27.63,1
R368EN,2025-07-05,Delhi,17,11,1,0,71.27,4.87,634.27,100,10.14,180.1,26,4.43,4.35,24.7,0
R368EN,2025-07-06,Delhi,27,18,1,1,103.15,31.64,807.22,120,27.53,318.84,44,7.94,4.25,28.42,1
R368EN,2025-07-07,Delhi,,,,,,,,,,,,,,,
R368EN,2025-07-08,Delhi,16,10,1,1,62.06,17.79,685.42,100,15.15,188.87,54,5.64,4.21,22.26,1
R368EN,2025-07-09,Delhi,14,9,1,1,63.63,4.07,627.38,80,15.59,160.15,66,5.65,4.07,21.75,2
R368EN,2025-07-10,Delhi,12,9,0,2,53.28,14.38,435.61,80,15.13,160.03,69,4.76,4.4,27.55,2
R368EN,2025-07-11,Delhi,16,12,2,2,64.97,12.63,631.63,100,19.43,183.57,26,4.81,4.83,29.05,1
R368EN,2025-07-12,Delhi,19,17,0,1,85.53,15.06,942.51,100,31.55,237.94,49,7.6,4.77,20.99,2
R368EN,2025-07-13,Delhi,25,21,1,2,93.67,8.88,897.23,120,23.99,242.57,24,7.08,4.68,22.67,2
R368EN,2025-07-14,Delhi,,,,,,,,,,,,,,,
R368EN,2025-07-15,Delhi,13,8,0,2,63.86,15.44,640.21,80,13.44,187.58,41,5.28,4.06,22.91,2
R368EN,2025-07-16,Delhi,8,6,0,0,44.75,3.88,465.17,0,7.71,115.03,41,3.46,4.75,23.29,2
R368EN,2025-07-17,Delhi,11,9,3,2,54.2,9.34,552.77,80,14.29,150.3,54,4.39,4.7,25.33,5
R368EN,2025-07-18,Delhi,9,6,1,2,43.8,6.15,395.95,0,12.29,118.17,50,3.66,4.73,24.13,3
R368EN,2025-07-19,Delhi,12,10,2,0,54.49,4.04,585.33,80,8.71,138.45,53,3.75,4.78,27.2,4
R368EN,2025-07-20,Delhi,,,,,,,,,,,,,,,
R368EN,2025-07-21,Delhi,11,10,1,1,53.85,12.41,570.28,80,12.51,156.73,67,5.07,4.77,21.6,4
R368EN,2025-07-22,Delhi,18,11,1,0,74.85,17.75,697.83,100,23.48,219.05,50,5.78,4.28,26.28,5
R368EN,2025-07-23,Delhi,13,12,1,0,61.84,14.57,711.92,80,17.74,180.74,66,5.94,4.86,20.88,1
R368EN,2025-07-24,Delhi,10,6,0,1,43.4,7.59,508.76,80,15.95,120.63,43,3.74,4.32,25.2,5
R368EN,2025-07-25,Delhi,9,6,2,1,43.37,10.28,486.55,0,14.72,126.88,73,4.37,4.13,25.35,2
R368EN,2025-07-26,Delhi,17,13,1,0,70.44,10.42,661.91,100,26.53,191.27,37,6.17,4.77,20.68,3
R368EN,2025-07-27,Delhi,,,,,,,,,,,,,,,
R368EN,2025-07-28,Delhi,17,10,2,2,72.07,15.0,878.32,100,29.56,205.96,48,6.57,4.17,22.31,2
R368EN,2025-07-29,Delhi,8,7,3,2,39.78,4.99,461.39,0,6.74,105.9,41,3.41,4.59,20.46,3
R368EN,2025-07-30,Delhi,16,14,3,1,69.76,13.26,743.97,100,15.44,196.38,42,4.63,4.45,28.65,5
R368EN,2025-07-31,Delhi,18,14,0,0,77.16,10.55,654.76,100,15.72,207.47,53,5.39,4.56,27.19,0
R368EN,2025-08-01,Delhi,12,10,1,2,56.23,13.58,509.63,80,9.86,165.14,54,4.4,4.76,26.26,1
R368EN,2025-08-02,Delhi,23,20,1,0,85.19,6.78,724.87,120,17.35,217.52,45,6.03,4.72,22.52,1
R368EN,2025-08-03,Delhi,,,,,,,,,,,,,,,
R368EN,2025-08-04,Delhi,10,8,3,0,48.6,8.12,546.43,80,8.67,134.15,61,3.98,4.87,24.81,4
R368EN,2025-08-05,Delhi,16,11,0,0,68.58,18.25,709.91,100,21.82,205.37,43,5.37,4.08,27.31,1
R368EN,2025-08-06,Delhi,14,10,1,2,65.25,7.08,723.82,80,17.65,171.09,63,5.28,4.36,26.96,5
R368EN,2025-08-07,Delhi,18,11,2,1,72.67,9.03,692.19,100,15.83,193.26,25,5.63,4.06,20.83,0
R368EN,2025-08-08,Delhi,17,15,1,2,72.23,2.1,744.04,100,17.9,175.81,29,4.79,4.59,24.29,5
R368EN,2025-08-09,Delhi,,,,,,,,,,,,,,,
R368EN,2025-08-10,Delhi,22,15,2,3,84.38,14.88,894.65,120,20.78,234.78,44,5.51,4.03,29.0,4
R368EN,2025-08-11,Delhi,9,6,2,0,43.47,2.98,361.17,0,14.81,109.88,100,4.62,4.27,22.67,4
R368EN,2025-08-12,Delhi,10,6,1,2,44.39,4.12,381.71,80,15.87,114.73,65,4.58,4.26,20.41,5
R368EN,2025-08-13,Delhi,17,12,0,0,77.58,7.25,687.03,100,20.88,200.66,54,5.97,4.03,23.59,4
R368EN,2025-08-14,Delhi,17,13,2,1,72.45,6.94,630.42,100,15.4,187.79,45,4.96,4.89,27.59,3
R368EN,2025-08-15,Delhi,15,10,2,1,64.4,6.07,730.36,80,16.76,166.68,31,4.21,4.38,28.92,1
R368EN,2025-08-16,Delhi,,,,,,,,,,,,,,,
R368EN,2025-08-17,Delhi,21,18,0,2,76.33,16.19,885.73,120,25.85,218.85,33,6.62,4.4,21.8,2
R368EN,2025-08-18,Delhi,14,11,1,2,65.74,3.98,663.44,80,11.68,164.92,30,4.54,4.44,21.26,2
